达人名称,粉丝数,播放量,点赞数,评论数,转发数,投放消耗,线索量,成交量,GMV,数据声明
模拟达人026,5483,3122,272,44,23,80.03,3,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人027,8112,7737,531,49,78,283.63,23,4,1047.68,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人028,417150,154835,9325,1148,1116,7998.26,356,22,3141.95,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人029,47836,67001,5731,966,421,3094.91,213,37,14524.36,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人030,5907,8648,204,21,52,227.58,27,1,423.66,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人031,217047,359259,9369,1645,868,25646.12,688,90,56069.36,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人032,107569,129483,7036,862,1100,8883.72,347,63,32020.12,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人033,18764,10211,436,64,72,848.52,6,1,440.37,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人034,19458,26273,2193,346,224,1197.53,59,8,1566.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人035,94934,120857,10288,1629,593,6018.59,151,20,8047.76,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人036,8741,3239,237,31,35,74.87,11,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人037,21580,25407,374,47,86,700.81,29,1,183.38,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人038,13940,7007,351,67,41,253.85,2,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人039,5322,3137,253,27,31,95.28,6,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人040,33734,15076,1214,124,135,668.69,14,1,649.58,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人041,7098,6115,128,23,16,175.57,17,1,212.89,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人042,34100,40261,2014,183,228,1381.41,20,3,2079.34,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人043,1188317,1083447,80501,14172,9013,54432.71,3412,269,141631.06,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人044,12667,12313,881,100,145,518.1,21,2,935.98,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人045,72091,58269,3600,603,792,4386.81,184,18,12423.12,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人046,15713,6229,278,45,10,120.36,24,1,664.56,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人047,9837,10900,368,59,50,348.39,12,2,1179.2,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人048,48103,73834,1305,126,316,3335.26,25,4,1729.75,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人049,70490,86365,5056,455,600,7956.63,81,8,2557.07,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人050,9665,7872,319,42,83,373.5,18,2,533.27,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人051,315518,516695,40441,4762,4306,11215.34,1850,169,99508.9,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人052,71214,87718,6690,1016,656,7915.09,37,5,1324.54,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人053,5836,2324,138,16,19,204.48,6,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人054,5541,2247,111,17,19,125.74,4,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人055,300013,412518,15173,2460,1247,33534.01,1570,76,32696.76,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人056,7559,7822,194,33,13,689.12,20,2,896.01,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人057,143683,226624,5229,664,1578,0,385,19,11185.72,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人058,21239,23025,1652,320,221,1644.92,55,5,3450.15,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人059,49762,34271,2409,468,510,1434.96,34,4,2052.05,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人060,110899,62539,3851,651,457,1415.87,66,12,7738.43,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人061,10813,5330,184,20,29,336.02,17,3,1509.7,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人062,13190,5009,199,28,14,190.98,15,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人063,25533,26140,2129,239,351,2476.52,103,16,8053.19,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人064,63543,20638,1360,253,152,1286.84,38,5,1636.18,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人065,228272,84859,3735,361,743,6174.01,74,10,3360.08,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人066,142850,56594,2535,315,250,4354.34,81,13,4001.64,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人067,15324,17231,434,76,12,1528.61,60,8,1466.08,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人068,143212,165547,8531,766,1035,14544.05,212,24,5628.68,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人069,147449,181288,5603,566,1133,5073.99,73,5,3015.03,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人070,518627,780631,61952,7875,8592,31203.88,1412,187,97889.8,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人071,7820,5286,107,10,14,443.24,9,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人072,42078,32332,2310,360,198,2488.76,39,6,1168.15,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人073,553558,867441,19951,3100,4838,72738.99,2370,291,139582.45,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人074,11194,9043,791,110,60,508.1,17,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人075,40340,45388,2594,551,558,2890.32,151,18,8005.1,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人076,151195,69676,1902,276,401,3638.53,256,50,15301.55,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人077,577352,817641,23172,3522,1099,67528.98,1123,173,57432.3,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人078,94129,112929,8815,1298,588,9382.48,251,29,16788.66,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人079,216945,209810,15044,1422,3062,19125.27,497,31,14963.45,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人080,1873679,1761161,35326,7182,7931,54771.89,628,80,25792.04,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人081,49889,22018,1834,356,200,1496.42,66,5,730.57,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人082,120947,138646,8482,1471,945,4877.7,210,40,8073.12,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人083,5096,2306,146,19,11,159.55,6,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人084,38383,19259,761,94,207,503.51,38,7,3767.5,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人085,11831,11830,507,92,43,223.54,14,1,222.69,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人086,19492,20062,654,76,181,927.6,75,12,3297.74,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人087,56528,19857,1501,260,47,1686.06,56,4,2491.6,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人088,47224,42492,1481,190,231,3110.71,160,29,11336.95,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人089,1871624,1911579,30048,3232,9073,57812.13,1073,193,待补录,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人090,12206,19488,817,133,31,1026.67,33,6,3743.65,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人091,6656,1740,119,23,20,38.05,2,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人092,17349,24922,1702,157,200,1969.29,74,12,3619.84,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人093,43460,68172,988,193,113,5469.46,146,26,16452.53,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人094,7065,11783,773,142,103,399.32,30,5,3169.16,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人095,7261,10498,586,64,160,621.36,32,5,2295.11,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人096,5124,6039,316,36,30,155.62,11,1,592.34,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人097,288516,465974,31156,5733,1890,40761.28,140,9,3724.5,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人098,31426,25087,1974,339,127,1294.0,57,3,1545.16,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人099,20687,34557,2596,443,582,2758.85,117,11,4352.61,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人100,250234,220811,16629,3205,3384,19330.56,289,14,3627.1,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
